As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 17, 2017","29,414.36",152.59,--,"17,300,000.00"
"Mar 16, 2017","29,076.90",150.84,--,"17,200,000.00"
"Mar 15, 2017","29,157.42",151.26,--,"17,150,000.00"
"Mar 14, 2017","28,939.10",150.13,--,"17,050,000.00"
"Mar 13, 2017","29,091.34",150.92,--,"17,050,000.00"
"Mar 10, 2017","28,970.51",150.30,--,"16,950,000.00"
"Mar 09, 2017","28,992.16",150.41,--,"16,900,000.00"
"Mar 08, 2017","29,046.64",150.70,--,"16,900,000.00"
"Mar 07, 2017","29,143.87",151.20,--,"16,900,000.00"
"Mar 06, 2017","29,180.63",151.39,--,"16,850,000.00"
"Mar 03, 2017","29,266.83",151.84,--,"16,750,000.00"
"Mar 02, 2017","29,364.88",152.35,--,"16,600,000.00"
"Mar 01, 2017","29,670.69",153.94,--,"16,400,000.00"
